,降水量合計 (mm),最大1時間降水量 (mm),最大10分間降水量 (mm),平均気温,最高気温,最低気温,平均風速 (m/s),最大風速 (m/s),最大風向,最大瞬間風速 (m/s),最大瞬間風速風向,最多風向,日照時間 (h),降雪合計 (cm),最深積雪 (cm)
1,0.0,0.0,0.0,,,,,,,,,,,,
2,0.0,0.0,0.0,,,,,,,,,,,,
3,0.0,0.0,0.0,,,,,,,,,,,,
4,0.0,0.0,0.0,,,,,,,,,,,,
5,0.0,0.0,0.0,,,,,,,,,,,,
6,0.0,0.0,0.0,,,,,,,,,,,,
7,0.5,0.5,0.5,,,,,,,,,,,,
8,30.0,14.0,6.5,,,,,,,,,,,,
9,0.0,0.0,0.0,,,,,,,,,,,,
10,0.0,0.0,0.0,,,,,,,,,,,,
11,0.0,0.0,0.0,,,,,,,,,,,,
12,0.0,0.0,0.0,,,,,,,,,,,,
13,0.0,0.0,0.0,,,,,,,,,,,,
14,5.0,2.0,0.5,,,,,,,,,,,,
15,0.0,0.0,0.0,,,,,,,,,,,,
16,0.0,0.0,0.0,,,,,,,,,,,,
17,0.0,0.0,0.0,,,,,,,,,,,,
18,1.5,1.5,0.5,,,,,,,,,,,,
19,0.0,0.0,0.0,,,,,,,,,,,,
20,0.0,0.0,0.0,,,,,,,,,,,,
21,0.0,0.0,0.0,,,,,,,,,,,,
22,16.0,5.0,2.0,,,,,,,,,,,,
23,15.5,6.5,1.5,,,,,,,,,,,,
24,0.0,0.0,0.0,,,,,,,,,,,,
25,24.0,5.5,1.5,,,,,,,,,,,,
26,2.5,2.0,0.5,,,,,,,,,,,,
27,25.5,7.5,2.5,,,,,,,,,,,,
28,19.5,6.5,2.5,,,,,,,,,,,,
29,5.0,2.5,0.5,,,,,,,,,,,,
30,0.5,0.5,0.5,,,,,,,,,,,,
31,2.5,0.5,0.5,,,,,,,,,,,,
